age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,label
50,Self_emp_not_inc,Bachelors,married,Exec_managerial,Husband,White,Male,0,0,13,United_States,0
38,Private,HS_grad,divorced,Handlers_cleaners,Not_in_family,White,Male,0,0,40,United_States,0
53,Private,School,married,Handlers_cleaners,Husband,Black,Male,0,0,40,United_States,0
28,Private,Bachelors,married,Prof_specialty,Wife,Black,Female,0,0,40,Other,0
37,Private,Masters,married,Exec_managerial,Wife,White,Female,0,0,40,United_States,0
49,Private,School,married,Other_service,Not_in_family,Black,Female,0,0,16,Other,0
52,Self_emp_not_inc,HS_grad,married,Exec_managerial,Husband,White,Male,0,0,45,United_States,1
31,Private,Masters,not_married,Prof_specialty,Not_in_family,White,Female,14084,0,50,United_States,1
42,Private,Bachelors,married,Exec_managerial,Husband,White,Male,5178,0,40,United_States,1
37,Private,Some_college,married,Exec_managerial,Husband,Black,Male,0,0,80,United_States,1
30,State_gov,Bachelors,married,Prof_specialty,Husband,Asian_Pac_Islander,Male,0,0,40,Other,1
23,Private,Bachelors,not_married,Adm_clerical,Own_child,White,Female,0,0,30,United_States,0
32,Private,Voc,not_married,Sales,Not_in_family,Black,Male,0,0,50,United_States,0
40,Private,Voc,married,Craft_repair,Husband,Asian_Pac_Islander,Male,0,0,40,United_States,1
34,Private,School,married,Transport_moving,Husband,Amer_Indian_Eskimo,Male,0,0,45,Other,0
25,Self_emp_not_inc,HS_grad,not_married,Farming_fishing,Own_child,White,Male,0,0,35,United_States,0
32,Private,HS_grad,not_married,Machine_op_inspct,Unmarried,White,Male,0,0,40,United_States,0
38,Private,School,married,Sales,Husband,White,Male,0,0,50,United_States,0
43,Self_emp_not_inc,Masters,divorced,Exec_managerial,Unmarried,White,Female,0,0,45,United_States,1
40,Private,Doctorate,married,Prof_specialty,Husband,White,Male,0,0,60,United_States,1
54,Private,HS_grad,not_married,Other_service,Unmarried,Black,Female,0,0,20,United_States,0
35,Federal_gov,School,married,Farming_fishing,Husband,Black,Male,0,0,40,United_States,0
43,Private,School,married,Transport_moving,Husband,White,Male,0,2042,40,United_States,0
59,Private,HS_grad,divorced,Tech_support,Unmarried,White,Female,0,0,40,United_States,0
