c_charge_degree,race,age,sex,priors_count,days_b_screening_arrest,label
F,Caucasian,28,Female,0,-1.0,0
F,African_American,31,Female,10,-3.0,0
F,African_American,26,Male,0,-1.0,0
M,Caucasian,24,Female,0,-1.0,0
F,African_American,29,Male,0,0.0,0
F,African_American,39,Male,1,-1.0,0
M,African_American,25,Male,3,-1.0,1
M,African_American,29,Male,1,-1.0,1
M,Caucasian,58,Male,3,-4.0,0
F,African_American,24,Male,6,0.0,1
F,African_American,33,Male,0,-1.0,0
F,Caucasian,22,Female,0,-2.0,1
F,African_American,33,Male,2,0.0,1
F,Caucasian,24,Male,1,-1.0,1
F,African_American,24,Male,0,0.0,1
M,Hispanic,33,Male,0,-1.0,0
M,Caucasian,50,Male,2,-1.0,1
M,Other,36,Male,2,-1.0,1
F,African_American,26,Female,4,-1.0,0
F,Hispanic,25,Male,2,-1.0,1
F,African_American,32,Male,0,-1.0,1
F,African_American,23,Male,1,-1.0,1
M,Caucasian,59,Female,0,-1.0,0
M,African_American,29,Male,1,-1.0,0
M,African_American,46,Female,7,-1.0,0
F,African_American,44,Male,2,-1.0,0
F,Other,42,Male,1,-1.0,0
F,Caucasian,62,Male,0,-1.0,0
F,Other,20,Male,1,-1.0,1
F,Other,32,Male,0,0.0,1
F,African_American,35,Male,0,-1.0,0
F,African_American,30,Male,7,-1.0,0
M,Caucasian,51,Male,0,-1.0,0
M,Other,23,Male,2,-1.0,0
F,Caucasian,25,Male,1,-1.0,0
F,African_American,59,Male,10,-1.0,1
F,African_American,34,Male,1,-1.0,0
F,Caucasian,49,Male,0,-1.0,1
F,Hispanic,35,Male,2,-14.0,0
F,Caucasian,56,Male,13,-13.0,0
F,Caucasian,52,Male,4,-1.0,1
M,Caucasian,30,Male,0,-1.0,0
M,Hispanic,29,Male,0,-1.0,0
F,Hispanic,27,Male,6,-1.0,1
F,Native American,37,Male,0,-1.0,0
F,African_American,38,Male,0,-1.0,0
F,Other,20,Male,1,-1.0,1
F,Caucasian,41,Male,11,-1.0,1
F,Hispanic,37,Male,9,-1.0,0
F,African_American,32,Male,4,-1.0,1
F,Caucasian,28,Male,6,-2.0,0
M,Hispanic,37,Male,2,-1.0,0
F,African_American,50,Male,18,-1.0,1
F,African_American,56,Male,1,-1.0,0
F,African_American,56,Male,4,-1.0,0
F,African_American,25,Male,4,-1.0,1
M,African_American,28,Male,10,-1.0,1
F,Caucasian,44,Female,3,0.0,1
M,Hispanic,24,Male,0,0.0,0
F,African_American,26,Female,1,-1.0,0
M,Caucasian,28,Male,4,-1.0,1
F,African_American,34,Male,8,0.0,1
F,African_American,47,Male,3,-1.0,1
M,African_American,49,Male,1,0.0,1
M,African_American,35,Male,1,-4.0,1
M,Hispanic,23,Male,2,-19.0,1
M,Caucasian,22,Female,1,-1.0,0
F,Caucasian,32,Male,11,-1.0,0
M,Caucasian,27,Male,0,-1.0,0
M,Caucasian,31,Male,3,0.0,0
F,African_American,20,Male,0,-1.0,0
F,African_American,21,Male,0,0.0,1
F,Caucasian,32,Female,2,-1.0,1
F,African_American,30,Male,14,-1.0,0
F,African_American,28,Male,5,-1.0,0
F,Caucasian,29,Female,3,0.0,0
F,Caucasian,37,Male,1,-1.0,1
M,Hispanic,40,Male,0,-2.0,0
F,Hispanic,37,Male,1,-1.0,0
F,African_American,23,Male,2,-1.0,0
F,African_American,21,Male,0,0.0,0
M,Caucasian,29,Male,1,-1.0,0
F,African_American,24,Female,3,-1.0,1
F,Caucasian,21,Male,0,-1.0,1
M,Other,27,Male,2,-1.0,1
M,Hispanic,40,Male,0,0.0,0
F,African_American,46,Male,0,0.0,1
M,Caucasian,61,Male,0,-1.0,0
F,African_American,60,Male,13,-13.0,0
M,African_American,29,Male,0,-1.0,1
F,African_American,25,Male,1,0.0,0
M,African_American,38,Male,1,-1.0,0
M,Caucasian,27,Male,5,-12.0,0
F,Caucasian,30,Male,0,-1.0,1
F,Caucasian,50,Male,0,-1.0,1
F,African_American,49,Male,3,-1.0,1
M,African_American,52,Male,4,-5.0,0
F,African_American,29,Male,12,0.0,1
F,Hispanic,39,Male,3,-21.0,0
F,African_American,23,Female,2,-1.0,1
M,African_American,55,Male,3,-1.0,1
F,African_American,28,Male,5,-1.0,1
F,African_American,34,Male,0,-1.0,0
F,Caucasian,36,Male,6,-25.0,0
F,African_American,25,Male,21,0.0,1
M,Caucasian,34,Female,0,-2.0,0
M,African_American,21,Female,1,-11.0,1
M,Caucasian,53,Female,1,-1.0,0
F,Caucasian,29,Male,0,0.0,0
M,Caucasian,55,Male,11,-1.0,0
F,African_American,28,Male,0,-1.0,0
F,Caucasian,30,Female,9,-19.0,1
M,Caucasian,34,Male,2,-1.0,0
M,Caucasian,27,Male,0,-1.0,0
M,Caucasian,53,Male,0,-1.0,0
M,Hispanic,23,Male,0,0.0,0
F,Caucasian,39,Male,0,-1.0,0
M,African_American,24,Male,0,0.0,0
M,African_American,62,Male,0,0.0,0
F,African_American,27,Male,9,-1.0,1
F,Caucasian,31,Female,2,-1.0,0
F,Hispanic,37,Male,1,-1.0,1
M,African_American,24,Female,2,-1.0,1
F,African_American,34,Male,0,0.0,1
F,Hispanic,39,Male,0,0.0,0
M,Caucasian,53,Male,1,-1.0,0
F,Caucasian,44,Female,0,-1.0,1
M,Caucasian,25,Female,0,0.0,0
F,Other,40,Male,1,-1.0,0
M,African_American,52,Male,0,0.0,0
F,African_American,27,Male,7,-1.0,1
F,African_American,29,Male,4,-1.0,0
F,Native American,33,Female,5,-1.0,1
F,Other,25,Male,3,-1.0,1
M,Caucasian,63,Male,0,0.0,0
F,African_American,25,Female,2,-1.0,1
F,African_American,36,Male,4,-4.0,1
F,Caucasian,30,Male,1,-1.0,0
M,African_American,25,Male,2,-1.0,1
F,Other,36,Male,0,-1.0,0
M,African_American,42,Male,7,-1.0,0
F,African_American,49,Male,3,0.0,0
M,Caucasian,25,Female,0,-1.0,0
F,African_American,31,Male,2,-1.0,0
F,African_American,33,Male,3,-1.0,1
M,African_American,34,Female,1,-21.0,0
F,African_American,34,Male,5,-1.0,1
F,Caucasian,27,Male,5,-1.0,0
F,African_American,22,Male,1,-1.0,0
F,African_American,21,Male,1,-1.0,1
F,Caucasian,28,Male,0,-1.0,1
F,African_American,42,Male,7,0.0,1
F,African_American,21,Male,2,-1.0,1
F,Hispanic,24,Male,11,-15.0,1
M,Caucasian,30,Male,1,-1.0,0
F,African_American,28,Female,4,-1.0,0
F,Caucasian,44,Male,3,-4.0,0
F,African_American,22,Male,1,0.0,1
F,Hispanic,29,Female,1,-1.0,1
F,Caucasian,23,Male,0,0.0,0
M,Caucasian,72,Male,1,-23.0,0
F,Caucasian,42,Male,3,0.0,1
F,African_American,23,Male,3,-1.0,0
M,Caucasian,29,Female,0,-1.0,0
M,Caucasian,53,Male,8,-1.0,0
F,African_American,32,Male,21,-1.0,1
F,Caucasian,52,Male,2,-1.0,0
F,Caucasian,31,Female,1,-22.0,1
M,African_American,21,Male,0,-1.0,1
F,Caucasian,57,Female,4,-1.0,0
F,Caucasian,44,Male,1,0.0,0
F,Caucasian,27,Male,0,-1.0,0
F,Other,29,Male,0,-1.0,0
M,African_American,33,Male,5,0.0,1
M,African_American,26,Male,0,-3.0,1
F,Caucasian,24,Female,0,-3.0,0
F,African_American,44,Female,0,0.0,0
M,Caucasian,44,Male,0,-1.0,1
