len, freq, err, condition, pred
1, 0.907, 0.0711844698096371, duration<=549.5, 0.0771341463414634
1, 0.968, 0.0879362448979592, poutcome_success<=0.5, 0.0974285714285714
1, 0.552, 0.0691086111268145, housing_no<=0.5, 0.07468671679198
4, 0.001, 0, duration<=549.5 & duration>206.5 & pdays>374.5 & housing_no<=0.5, 1
1, 0.284, 0.0419359803016313, contact_unknown>0.5, 0.043859649122807
1, 0.447, 0.0241252401337214, duration<=162.5, 0.0247371675943105
2, 0.023, 0.0352468768590125, duration<=162.5 & duration>155.5, 0.0365853658536585
1, 0.598, 0.0898890237591879, balance<=662, 0.0998613037447989
1, 0.402, 0.119695397281842, balance>662, 0.139022711631108
1, 0.093, 0.249920280612245, duration>549.5, 0.491071428571429
1, 0.933, 0.0780515555555556, duration<=647.5, 0.0853333333333333
2, 0.273, 0.0256232686980609, duration<=800.5 & contact_unknown>0.5, 0.0263157894736842
4, 0.001, 0, duration>549.5 & duration<=800.5 & education_unknown<=0.5 & poutcome_success>0.5, 1
3, 0, 0, duration>549.5 & job_blue_collar>0.5 & poutcome_success>0.5, 1
3, 0, 0, duration>549.5 & education_unknown>0.5 & poutcome_success>0.5, 0
1, 0.985, 0.10207100591716, balance<=11537.5, 0.115384615384615
1, 0.401, 0.115824966360328, day<=13.5, 0.133700895933839
2, 0.178, 0.0212988784590119, contact_cellular<=0.5 & month_may>0.5, 0.0217729393468118
1, 0.474, 0.115270338039422, day<=15.5, 0.132944606413994
1, 0.526, 0.08995791411868, day>15.5, 0.0999473961073119
1, 0.921, 0.0949801456636578, age<=57.5, 0.106274392074452
3, 0.001, 0, age>57.5 & duration>549.5 & poutcome_success>0.5, 1
1, 0.864, 0.0643805695587539, duration<=452.5, 0.069164265129683
1, 0.972, 0.0955036038729501, age<=60.5, 0.106939704209329
2, 0.313, 0.0113423111049483, duration<=126 & month_feb<=0.5, 0.0114739629302736
1, 0.028, 0.2436, age>60.5, 0.42
1, 0.987, 0.100358888653501, age>23.5, 0.113165266106443
1, 0.136, 0.241852465963653, duration>452.5, 0.40973630831643
3, 0.001, 0, duration>452.5 & duration<=706.5 & pdays>370.5, 1
2, 0.169, 0.0192542075050694, contact_unknown>0.5 & month_may>0.5, 0.0196399345335516
4, 0.002, 0, duration>452.5 & duration<=706.5 & pdays<=185.5 & poutcome_success>0.5, 1
1, 0.987, 0.102087580130091, balance<=13362.5, 0.115406162464986
3, 0.002, 0, balance>13362.5 & duration>452.5 & duration<=706.5, 0
1, 0.727, 0.0972495533260481, balance<=1215.5, 0.109166983643971
1, 0.273, 0.115109390670407, balance>1215.5, 0.132725430597771
4, 0.004, 0.05859375, duration>706.5 & duration<=853.5 & marital_married>0.5 & contact_unknown>0.5, 0.0625
3, 0.001, 0, duration>706.5 & marital_married>0.5 & poutcome_success>0.5, 1
1, 0.898, 0.0689951023659054, duration<=521.5, 0.0745532963647566
2, 0.083, 0.0131555555555556, day<=9.5 & duration<=126, 0.0133333333333333
1, 0.332, 0.014775, duration<=126, 0.015
1, 0.349, 0.0163506186491839, duration<=132.5, 0.0166270783847981
1, 0.102, 0.249408327246165, duration>521.5, 0.475675675675676
1, 0.96, 0.0866890642295147, duration<=827.5, 0.0958825223150014
4, 0.002, 0, duration>521.5 & duration<=827.5 & education_unknown<=0.5 & poutcome_success>0.5, 1
3, 0, 0, duration>521.5 & education_unknown>0.5 & poutcome_success>0.5, 0
2, 0.001, 0, duration>827.5 & previous>4.5, 1
4, 0, 0, duration>827.5 & pdays<=222.5 & marital_married<=0.5 & poutcome_other>0.5, 1
4, 0.001, 0, duration>521.5 & pdays>222.5 & marital_married<=0.5 & poutcome_other>0.5, 0
1, 0.631, 0.0917139298180401, balance<=754, 0.102148180622534
2, 0.008, 0.21, duration>827.5 & month_jul>0.5, 0.7
1, 0.369, 0.119373255340936, balance>754, 0.138576779026217
1, 0.858, 0.0639695447297743, duration<=438.5, 0.0686875201547888
1, 0.341, 0.0151600125036447, duration<=129.5, 0.0153970826580227
