len, freq, err, condition, pred
2, 0.002, 0, age<=21.5 & sex_Male<=0.5, 1
3, 0.012, 0.138888888888889, age<=22.5 & age>21.5 & sex_Male<=0.5, 0.166666666666667
2, 0.002, 0, age<=20.5 & days_b_screening_arrest<=-2.5, 0
2, 0.016, 0.109375, age<=20.5 & days_b_screening_arrest>-2.5, 0.875
1, 0.099, 0.232403165347772, age<=22.5, 0.63265306122449
1, 0.901, 0.245125192760328, age>22.5, 0.43018018018018
3, 0.105, 0.155325443786982, age>22.5 & priors_count<=1.5 & sex_Female>0.5, 0.192307692307692
2, 0.44, 0.204081632653061, age>22.5 & priors_count<=1.5, 0.285714285714286
1, 0.014, 0, days_b_screening_arrest>0.5, 1
2, 0.014, 0.122448979591837, age<=21.5 & priors_count>1.5, 0.857142857142857
1, 0.596, 0.249710768661206, age<=33.5, 0.482993197278912
2, 0.018, 0, age<=26.5 & priors_count>7.5, 1
1, 0.71, 0.242155102040816, age>26.5, 0.411428571428571
2, 0.008, 0, age<=33.5 & priors_count>15.5, 1
1, 0.404, 0.240397969748239, age>33.5, 0.402010050251256
2, 0.079, 0.111768573307035, priors_count<=0.5 & sex_Male<=0.5, 0.128205128205128
1, 0.146, 0.245177469135802, age<=23.5, 0.569444444444444
2, 0.006, 0, age<=20.5 & priors_count>0.5, 1
2, 0.071, 0.204081632653061, age<=23.5 & priors_count>0.5, 0.714285714285714
2, 0.511, 0.215214789619552, age>23.5 & priors_count<=2.5, 0.313492063492063
1, 0.854, 0.245090018675137, age>23.5, 0.429928741092637
2, 0.002, 0, priors_count<=0.5 & days_b_screening_arrest<=-6, 1
2, 0.055, 0.150891632373114, age>52.5 & priors_count<=2.5, 0.185185185185185
1, 0.641, 0.230612081397212, priors_count<=2.5, 0.360759493670886
3, 0.018, 0, age>32.5 & priors_count<=2.5 & days_b_screening_arrest<=-8.5, 0
3, 0.061, 0.09, age<=27.5 & priors_count>2.5 & c_charge_degree_F>0.5, 0.9
1, 0.13, 0.208740234375, priors_count>7.5, 0.703125
2, 0.008, 0, age>55.5 & days_b_screening_arrest<=-13.5, 0
2, 0.053, 0.130177514792899, age>55.5 & priors_count<=8.5, 0.153846153846154
3, 0.002, 0, age>52.5 & priors_count>8.5 & priors_count<=10.5, 1
5, 0.002, 0, age<=22.5 & age>20.5 & priors_count<=1.5 & days_b_screening_arrest<=-1.5 & sex_Male>0.5, 1
2, 0.12, 0.162022407354209, priors_count<=1.5 & sex_Male<=0.5, 0.203389830508475
3, 0.002, 0, age<=33.5 & priors_count>5.5 & days_b_screening_arrest<=-16, 1
2, 0.278, 0.231765144653418, age<=33.5 & priors_count>1.5, 0.635036496350365
2, 0.323, 0.231715517582374, age>33.5 & priors_count<=5.5, 0.364779874213836
2, 0.006, 0, priors_count>12.5 & days_b_screening_arrest<=-5, 0
2, 0.049, 0.164930555555556, priors_count>12.5 & days_b_screening_arrest>-5, 0.791666666666667
3, 0.071, 0.0783673469387755, priors_count<=1.5 & c_charge_degree_F<=0.5 & sex_Female>0.5, 0.0857142857142857
2, 0.051, 0.1344, age>52.5 & priors_count<=1.5, 0.16
3, 0.083, 0.124925639500297, age<=27.5 & priors_count>1.5 & race_African_American>0.5, 0.853658536585366
5, 0.006, 0, age<=33.5 & age>27.5 & priors_count>1.5 & priors_count<=5.5 & days_b_screening_arrest<=-4.5, 0
1, 0.181, 0.219669233682616, priors_count>5.5, 0.674157303370786
2, 0.099, 0.174094127446897, age<=33.5 & priors_count>5.5, 0.775510204081633
2, 0.079, 0.111768573307035, priors_count<=0.5 & sex_Female>0.5, 0.128205128205128
5, 0.006, 0, age>23.5 & age<=28.5 & priors_count<=2.5 & priors_count>0.5 & days_b_screening_arrest<=-1.5, 0
4, 0.004, 0, age<=27.5 & priors_count>2.5 & priors_count<=6.5 & days_b_screening_arrest<=-3.5, 0
1, 0.359, 0.23786268313703, priors_count>2.5, 0.610169491525424
1, 0.671, 0.249614370076943, age<=36.5, 0.48036253776435
2, 0.008, 0, age<=36.5 & priors_count>15.5, 1
1, 0.329, 0.237654320987654, age>36.5, 0.388888888888889
1, 0.014, 0, days_b_screening_arrest>6.5, 1
1, 0.002, 0, priors_count>27.5, 1
2, 0.002, 0, age<=22.5 & days_b_screening_arrest<=-19.5, 0
4, 0.028, 0.122448979591837, age>22.5 & age<=35.5 & priors_count<=1.5 & race_Hispanic>0.5, 0.142857142857143
2, 0.12, 0.162022407354209, priors_count<=1.5 & sex_Female>0.5, 0.203389830508475
3, 0.156, 0.185866081969978, age<=35.5 & age>26.5 & priors_count<=1.5, 0.246753246753247
4, 0.037, 0.0987654320987654, age>35.5 & priors_count<=1.5 & days_b_screening_arrest<=0.5 & days_b_screening_arrest>-0.5, 0.111111111111111
3, 0.012, 0, age<=21.5 & priors_count>1.5 & race_Caucasian<=0.5, 1
3, 0.002, 0, age<=21.5 & priors_count>1.5 & race_Caucasian>0.5, 0
3, 0.004, 0, age<=31.5 & priors_count>1.5 & days_b_screening_arrest<=-17, 1
1, 0.529, 0.248939387266775, age<=31.5, 0.467432950191571
2, 0.002, 0, priors_count>7.5 & days_b_screening_arrest<=-16, 1
2, 0.057, 0.146683673469388, age<=31.5 & priors_count>7.5, 0.821428571428571
2, 0.004, 0, age<=38.5 & days_b_screening_arrest<=-28, 0
1, 0.471, 0.245243757431629, age>31.5, 0.431034482758621
3, 0.024, 0.0763888888888889, age>23.5 & priors_count<=2.5 & days_b_screening_arrest<=-8.5, 0.0833333333333333
2, 0.227, 0.221221301020408, age<=36.5 & priors_count>2.5, 0.669642857142857
2, 0.008, 0, age<=20.5 & c_charge_degree_F<=0.5, 1
3, 0.01, 0, age<=23.5 & priors_count>0.5 & days_b_screening_arrest>-0.5, 1
4, 0.002, 0, age<=27.5 & priors_count>2.5 & priors_count<=8.5 & days_b_screening_arrest<=-11.5, 0
2, 0.006, 0, age<=36.5 & days_b_screening_arrest<=-24, 0
2, 0.02, 0, age<=27.5 & priors_count>8.5, 1
1, 0.116, 0.209295167743921, priors_count>8.5, 0.701754385964912
2, 0.004, 0, age<=51.5 & priors_count>21.5, 1
2, 0.002, 0, age<=22.5 & days_b_screening_arrest<=-21.5, 0
4, 0.002, 0, age<=22.5 & priors_count<=1.5 & days_b_screening_arrest<=-5.5 & days_b_screening_arrest>-21.5, 1
2, 0.014, 0.204081632653061, age<=22.5 & sex_Female>0.5, 0.285714285714286
3, 0.016, 0, age>52.5 & age<=65.5 & days_b_screening_arrest<=-3.5, 0
1, 0.002, 0, age>76.5, 1
4, 0.024, 0.138888888888889, priors_count>1.5 & priors_count<=4.5 & days_b_screening_arrest>-21.5 & days_b_screening_arrest<=-3.5, 0.166666666666667
3, 0.006, 0, age>33.5 & priors_count>1.5 & race_Other>0.5, 1
1, 0.018, 0.172839506172839, age<=20.5, 0.777777777777778
3, 0.008, 0, age<=22.5 & priors_count<=2.5 & priors_count>1.5, 1
1, 0.351, 0.210230879748739, priors_count<=0.5, 0.300578034682081
2, 0.069, 0.163494809688581, age>50.5 & priors_count<=2.5, 0.205882352941176
2, 0.002, 0, age<=36.5 & days_b_screening_arrest<=-28.5, 0
3, 0.006, 0, age>36.5 & priors_count>8.5 & days_b_screening_arrest<=-9, 0
3, 0.004, 0, age>36.5 & priors_count>8.5 & sex_Female>0.5, 0
3, 0.008, 0, age<=22.5 & priors_count>0.5 & days_b_screening_arrest>-0.5, 1
3, 0.008, 0, age>38.5 & priors_count<=1.5 & days_b_screening_arrest<=-8.5, 0
2, 0.006, 0, age<=33.5 & days_b_screening_arrest<=-22.5, 0
2, 0.01, 0, age<=59.5 & priors_count>20.5, 1
1, 0.034, 0.145328719723183, age>59.5, 0.176470588235294
4, 0.006, 0, age<=22.5 & priors_count<=1.5 & days_b_screening_arrest<=-1.5 & c_charge_degree_F<=0.5, 1
2, 0.075, 0.219138056975895, days_b_screening_arrest<=-1.5 & c_charge_degree_F>0.5, 0.324324324324324
3, 0.006, 0, age<=22.5 & days_b_screening_arrest>-1.5 & sex_Female>0.5, 0
1, 0.01, 0, days_b_screening_arrest>12.5, 1
1, 0.11, 0.208504801097394, age>52.5, 0.296296296296296
3, 0.002, 0, age<=22.5 & priors_count>1.5 & days_b_screening_arrest<=-5.5, 0
3, 0.018, 0, age<=22.5 & priors_count>1.5 & days_b_screening_arrest>-5.5, 1
1, 0.343, 0.249571093449109, age<=27.5, 0.520710059171598
2, 0.061, 0.16, age<=27.5 & priors_count>3.5, 0.8
1, 0.657, 0.242531626276482, age>27.5, 0.41358024691358
1, 0.014, 0, days_b_screening_arrest>1, 1
